MID,Language,Name
m.0107_f,cs,Alexis Mardas
m.0107_f,en,Magic Alex
m.01081,it,Apollo
m.01081,fr,Apollos d'Alexandrie
m.01081,da,Apollos
m.01081,de,Apollos
m.01081,en,Apollos
m.01081,nl,Apollos
m.01081,pl,Apollos
m.01081,sv,Apollos
m.01081,eo,Apolo (Biblio)
m.01081,pt,Apolo
m.01081,id,Apolos
m.01081,ca,Apol·ló de Corint
m.01081,el,Απολλώς
m.01081,ru,Аполлос
m.01081,uk,Аполлос
m.01081,sr,Аполос
m.0109kg,de,Hanin Elias
m.0109kg,en,Hanin Elias
m.0109kg,fr,Hanin Elias
m.0109kg,pl,Hanin Elias
m.0109kg,pt,Hanin Elias
m.0109kg,sq,Hanin
m.010bk0,sl,Ingvar Feodor Kamprad
m.010bk0,ca,Ingvar Kamprad
m.010bk0,cs,Ingvar Kamprad
m.010bk0,da,Ingvar Kamprad
m.010bk0,de,Ingvar Kamprad
m.010bk0,en,Ingvar Kamprad
m.010bk0,es,Ingvar Kamprad
m.010bk0,et,Ingvar Kamprad
m.010bk0,fi,Ingvar Kamprad
m.010bk0,fr,Ingvar Kamprad
m.010bk0,hr,Ingvar Kamprad
m.010bk0,id,Ingvar Kamprad
m.010bk0,it,Ingvar Kamprad
m.010bk0,lt,Ingvar Kamprad
m.010bk0,nl,Ingvar Kamprad
m.010bk0,no,Ingvar Kamprad
m.010bk0,pl,Ingvar Kamprad
m.010bk0,pt,Ingvar Kamprad
m.010bk0,ro,Ingvar Kamprad
m.010bk0,sk,Ingvar Kamprad
m.010bk0,sv,Ingvar Kamprad
m.010bk0,tr,Ingvar Kamprad
m.010bk0,vi,Ingvar Kamprad
m.010bk0,lv,Ingvars Kamprads
m.010bk0,bg,Инвар Кампрад
m.010bk0,ru,Ингвар Феодор Кампрад
m.010bk0,uk,Кампрад Інґвар
m.010bk0,iw,אינגוואר קמפראד
m.010bk0,ar,إينغفار كامبراد
m.010bk0,fa,اینگوار کامپراد
m.010bk0,ja,イングヴァル・カンプラード
m.010bk0,zh-Hant,英格瓦·坎普拉
m.010bk0,zh,英格瓦·坎普拉德
m.010bk0,ko,잉바르 캄프라드
m.010g87,ca,Lal Bahadur Shastri
m.010g87,da,Lal Bahadur Shastri
m.010g87,de,Lal Bahadur Shastri
m.010g87,en,Lal Bahadur Shastri
m.010g87,es,Lal Bahadur Shastri
m.010g87,fi,Lal Bahadur Shastri
m.010g87,fr,Lal Bahadur Shastri
m.010g87,id,Lal Bahadur Shastri
m.010g87,it,Lal Bahadur Shastri
m.010g87,nl,Lal Bahadur Shastri
m.010g87,no,Lal Bahadur Shastri
m.010g87,pl,Lal Bahadur Shastri
m.010g87,pt,Lal Bahadur Shastri
m.010g87,ro,Lal Bahadur Shastri
m.010g87,sv,Lal Bahadur Shastri
m.010g87,tr,Lal Bahadur Shastri
m.010g87,cs,Lál Bahádur Šastrí
m.010g87,bg,Лал Бахадур Шастри
m.010g87,ru,Лал Бахадур Шастри
m.010g87,sr,Лал Бахадур Шастри
m.010g87,fa,بهادر شاستری
m.010g87,ar,لال بهادور شاستري
m.010g87,hi,लालबहादुर शास्त्री
m.010g87,zh,拉尔·巴哈杜尔·夏斯特里
m.010g87,zh-Hant,拉爾·巴哈杜爾·夏斯特里
m.010hn,da,Amy Grant
m.010hn,de,Amy Grant
m.010hn,en,Amy Grant
m.010hn,es,Amy Grant
m.010hn,fi,Amy Grant
m.010hn,fil,Amy Grant
m.010hn,fr,Amy Grant
m.010hn,hu,Amy Grant
m.010hn,it,Amy Grant
m.010hn,nl,Amy Grant
m.010hn,no,Amy Grant
m.010hn,pl,Amy Grant
m.010hn,pt,Amy Grant
m.010hn,sk,Amy Grant
m.010hn,sv,Amy Grant
m.010hn,tr,Amy Grant
m.010hn,ru,Эми Грант
m.010hn,iw,איימי גרנט
m.010hn,fa,ایمی گرنت
m.010hn,th,เอมี แกรนต์
m.010hn,ja,エイミー・グラント
m.010hn,ko,에이미 그랜트
m.010hnp,hu,Ozu Jaszudzsiró
m.010hnp,de,Ozu Yasujirō
m.010hnp,sv,Ozu Yasujirō
m.010hnp,vi,Ozu Yasujirō
m.010hnp,nl,Yasujiro Ozu
m.010hnp,pt,Yasujiro Ozu
m.010hnp,ca,Yasujirō Ozu
m.010hnp,da,Yasujirō Ozu
m.010hnp,en,Yasujirō Ozu
m.010hnp,es,Yasujirō Ozu
m.010hnp,fi,Yasujirō Ozu
m.010hnp,fr,Yasujirō Ozu
m.010hnp,id,Yasujirō Ozu
m.010hnp,it,Yasujirō Ozu
m.010hnp,no,Yasujirō Ozu
m.010hnp,pl,Yasujirō Ozu
m.010hnp,ro,Yasujirō Ozu
m.010hnp,tr,Yasujirō Ozu
m.010hnp,ru,"Одзу, Ясудзиро"
m.010hnp,iw,יסוג'ירו אוזו
m.010hnp,fa,یاسوجیرو ازو
m.010hnp,th,ยาสุจิโร โอสุ
m.010hnp,ja,小津 安二郎
m.010hnp,zh,小津安二郎
m.010hnp,zh-Hant,小津安二郎
m.010hnp,ko,오즈 야스지로
m.010lz5,de,John Allen Muhammad
m.010lz5,en,John Allen Muhammad
m.010lz5,es,John Allen Muhammad
m.010lz5,fi,John Allen Muhammad
m.010lz5,fr,John Allen Muhammad
m.010lz5,pl,John Allen Muhammad
m.010lz5,pt,John Allen Muhammad
m.010lz5,sv,John Allen Muhammad
m.010lz5,ru,Джон Аллен Мухаммад
m.010ngb,de,Paul Wellstone
m.010ngb,en,Paul Wellstone
m.010ngb,es,Paul Wellstone
m.010ngb,fr,Paul Wellstone
m.010ngb,hu,Paul Wellstone
m.010ngb,it,Paul Wellstone
